"letzter Abo - Auftrag: Auftrag";"letzter Abo - Auftrag: Kündigung erfasst am";"SAP GP Nummer";"Emailkontakt Text"
"2114438853-0010";"19.03.2026";"0017648050";"BEIV-Ja"
"2110293257-0010";"19.03.2026";"0016065670";"SHZV-Ja"
"2114085147-0010";"19.03.2026";"0019347382";"SHZV-Nein"
"2114096135-0010";"19.03.2026";"0019351211";"SHZV-Nein"
"2114139152-0010";"19.03.2026";"0017006867";"SHZV-Ja"
"2114242761-0010";"19.03.2026";"0019030275";""
"2111236683-0020";"19.03.2026";"0018249028";""
"2114646861-0010";"19.03.2026";"0018682249";"BEIV-Ja;SHZV-Nein"
"2114803547-0010";"19.03.2026";"0019459838";"SHZV-Ja"
"2114883218-0010";"19.03.2026";"0019524246";"SHZV-Ja"
"2114973520-0010";"19.03.2026";"0019453958";"SHZV-Ja"
"2115002396-0010";"19.03.2026";"0016483402";"SHZV-Ja"
"2115010893-0010";"19.03.2026";"0017696627";"BEIV-Ja;SHZV-Ja"
"2112767097-0010";"19.03.2026";"0018892166";""
"2114746752-0010";"19.03.2026";"0016142355";""
"2115175873-0010";"19.03.2026";"0019054699";"SHZV-Ja"
"2112887072-0010";"19.03.2026";"0018906045";"SHZV-Nein"
"2112128601-0010";"19.03.2026";"0017839150";"BEIV-Nein"
"2114014888-0010";"19.03.2026";"0018727228";"Global-Nein"
"2114072025-0010";"19.03.2026";"0018926209";"SHZV-Nein"
"2114217169-0020";"19.03.2026";"0016704674";"Global-Nein"
"2114315467-0010";"19.03.2026";"0019410770";""
"2110314787-0020";"19.03.2026";"0016236054";"Global-Nein"
"2114472407-0010";"19.03.2026";"0016217160";"SHZV-Ja"
"2110324422-0010";"19.03.2026";"0016097209";"Global-Nein"
"2112558457-0010";"19.03.2026";"0017826556";"Global-Nein"
"2114882254-0010";"19.03.2026";"0018672673";"SHZV-Ja"
"2114554385-0020";"19.03.2026";"0019369818";"SHZV-Nein"
"2114808301-0020";"19.03.2026";"0017440019";"SHZV-Ja"
"2114990443-0020";"19.03.2026";"0019576922";"SHZV-Ja"
"2114995811-0010";"19.03.2026";"0017000576";"SHZV-Ja"
"2115144970-0010";"19.03.2026";"0018899349";"BEIV-Ja;SHZV-Ja"
"2115164376-0010";"19.03.2026";"0019616848";"BEIV-Ja"
"2114813968-0010";"19.03.2026";"0016322000";"SHZV-Ja"
"2114958146-0020";"19.03.2026";"0019341716";"SHZV-Ja"
"2110483861-0050";"19.03.2026";"0016046807";""
"2114797433-0010";"19.03.2026";"0016387191";"Global-Nein"
"2114856135-0010";"19.03.2026";"0016394365";"SHZV-Ja"
"2115171290-0010";"19.03.2026";"0019618726";"SHZV-Ja"
"2115171251-0010";"19.03.2026";"0019618691";"SHZV-Ja"
"2114995280-0010";"19.03.2026";"0019573042";"SHZV-Ja"
"2115175817-0010";"19.03.2026";"0019588117";"SHZV-Ja"
"2115117264-0010";"19.03.2026";"0019607415";"SHZV-Ja"
"2115134666-0020";"19.03.2026";"0019610986";"SHZV-Ja"
"2115146726-0020";"19.03.2026";"0019613450";"SHZV-Ja"
"2115159705-0010";"19.03.2026";"0019613302";"SHZV-Ja"
"2115170331-0010";"19.03.2026";"0019618343";"SHZV-Nein"
"2115176456-0010";"19.03.2026";"0019381885";"SHZV-Nein"
"2115167063-0010";"19.03.2026";"0019617465";"SHZV-Ja"
"2115170488-0010";"19.03.2026";"0019618451";"SHZV-Ja"
"2115170528-0010";"19.03.2026";"0019618482";"SHZV-Ja"
"2115170552-0010";"19.03.2026";"0019618504";"SHZV-Ja"
"2115170530-0010";"19.03.2026";"0019618484";"SHZV-Ja"
"2115170531-0010";"19.03.2026";"0019618485";"SHZV-Ja"
"2115170544-0010";"19.03.2026";"0019618497";"SHZV-Ja"
"2115171327-0010";"19.03.2026";"0019618755";"SHZV-Ja"
"2115171344-0010";"19.03.2026";"0019618771";"Global-Nein"
"2115171318-0010";"19.03.2026";"0019618748";"SHZV-Ja"
"2115171323-0010";"19.03.2026";"0019618751";"SHZV-Ja"
"2115171335-0010";"19.03.2026";"0019618762";"SHZV-Ja"
"2115171336-0010";"19.03.2026";"0019618763";"SHZV-Ja"
"2115172740-0010";"19.03.2026";"0018575917";"SHZV-Ja"
"2115172769-0010";"19.03.2026";"0019360995";"SHZV-Ja"
"2115172771-0010";"19.03.2026";"0019391239";"SHZV-Ja"
"2115173390-0010";"19.03.2026";"0016495289";"SHZV-Ja"
"2115174118-0010";"19.03.2026";"0019619857";"SHZV-Nein"
"2115174418-0010";"19.03.2026";"0019335506";"SHZV-Ja"
"2115173943-0010";"19.03.2026";"0019619710";"SHZV-Ja"
"2115174132-0010";"19.03.2026";"0019619865";"SHZV-Ja"
"2115174983-0010";"19.03.2026";"0019620080";"Global-Nein"
"2115175859-0010";"19.03.2026";"0019011549";"SHZV-Ja"
"2115176525-0010";"19.03.2026";"0018717749";"BEIV-Ja;SHZV-Ja"
"2115178007-0010";"19.03.2026";"0019620882";""
"2115177914-0010";"19.03.2026";"0018572544";"SHZV-Ja"
"2115178003-0010";"19.03.2026";"0019434688";"SHZV-Ja"
"2115178126-0010";"19.03.2026";"0019620903";""
"2110463701-0010";"19.03.2026";"0016009205";""
"2114241735-0010";"19.03.2026";"0018774405";""
"2114805296-0010";"19.03.2026";"0016016921";"BEIV-Ja;SHZV-Ja"
"2115178980-0010";"19.03.2026";"0018676406";"SHZV-Ja"
"2115178620-0010";"19.03.2026";"0019621032";"SHZV-Ja"
"2113464241-0010";"20.03.2026";"0018589973";""
"2110326144-0010";"20.03.2026";"0016098572";""
"2113457730-0010";"20.03.2026";"0017222415";"SHZV-Ja"
"2113391644-0010";"20.03.2026";"0018552255";""
"2110339903-0010";"20.03.2026";"0016726438";""
"2113144669-0010";"20.03.2026";"0019037525";"SHZV-Ja"
"2113928475-0010";"20.03.2026";"0018984243";""
"2114023161-0010";"20.03.2026";"0019326375";""
"2114243105-0010";"20.03.2026";"0018928012";"SHZV-Nein"
"2114260615-0010";"20.03.2026";"0019309568";"SHZV-Ja"
"2114241874-0010";"20.03.2026";"0018822677";""
"2114335392-0010";"20.03.2026";"0019415745";"SHZV-Ja"
"2114652086-0010";"20.03.2026";"0018437232";""
"2114754103-0010";"20.03.2026";"0017046555";"SHZV-Ja"
"2114767894-0010";"20.03.2026";"0016242918";"SHZV-Ja"
"2110234935-0010";"20.03.2026";"0016376900";"Global-Nein"
"2114844867-0010";"20.03.2026";"0018097424";"SHZV-Ja"
"2114871472-0010";"20.03.2026";"0017045697";"SHZV-Ja"
"2114900851-0010";"20.03.2026";"0017835244";"BEIV-Nein"
"2110818219-0010";"20.03.2026";"0017791462";""
"2114675754-0010";"20.03.2026";"0019169810";"SHZV-Ja"
"2114954843-0010";"20.03.2026";"0018936858";"SHZV-Nein"
"2113980539-0020";"20.03.2026";"0019312668";"SHZV-Ja"
"2114939654-0010";"20.03.2026";"0019549295";"SHZV-Nein"
"2114857329-0010";"20.03.2026";"0016360725";"SHZV-Ja"
"2115011759-0010";"20.03.2026";"0019404034";"SHZV-Ja"
"2115036166-0010";"20.03.2026";"0019588546";""
"2115048987-0010";"20.03.2026";"0019145364";"SHZV-Ja"
"2115020968-0010";"20.03.2026";"0019391580";"SHZV-Ja"
"2115088377-0010";"20.03.2026";"0019512776";"SHZV-Ja"
"2115172514-0010";"20.03.2026";"0019619197";"SHZV-Ja"
"2115173829-0010";"20.03.2026";"0019602840";"SHZV-Ja"
"2115174985-0010";"20.03.2026";"0019620082";"SHZV-Nein"
"2115175499-0010";"20.03.2026";"0017834030";"BEIV-Ja;SHZV-Ja"
"2115153526-0010";"20.03.2026";"0019433599";"SHZV-Ja"
"2115180109-0010";"20.03.2026";"0018461530";"SHZV-Ja"
"2113078112-0010";"20.03.2026";"0019011020";""
"2110319792-0010";"20.03.2026";"0016238286";"SHZV-Nein"
"2112058636-0010";"20.03.2026";"0018633910";""
"2113603385-0010";"20.03.2026";"0016102967";"Global-Nein"
"2114051810-0010";"20.03.2026";"0017340163";"Global-Nein"
"2114245621-0010";"20.03.2026";"0019219570";""
"2110365002-0010";"20.03.2026";"0017341707";""
"2114903395-0010";"20.03.2026";"0018472308";"Global-Nein"
"2115092548-0010";"20.03.2026";"0019602311";"SHZV-Nein"
"2115175249-0010";"20.03.2026";"0018901205";"Global-Nein"
"2110280848-0040";"20.03.2026";"0016052277";"Global-Nein"
"2110252081-0050";"20.03.2026";"0016019894";""
"2110466472-0010";"20.03.2026";"0016011084";""
"2112126502-0010";"20.03.2026";"0017834370";"Global-Nein"
"2113280367-0010";"20.03.2026";"0016207070";"Global-Nein"
