Emailing (geklickt);Emailing (geöffnet);SAP GP Nummer
0;0;10032621
0;0;10565166
0;0;16330564
0;0;16330868
0;0;16331658
0;1;16331947
0;0;16332359
0;1;16332369
0;1;16332709
0;1;16332976
0;0;16333050
0;1;16334068
0;0;16334885
0;1;16334960
1;1;16335902
0;0;16337116
0;1;16337264
0;1;16337381
0;0;16337453
0;0;16337848
0;0;16338088
1;1;16339197
0;1;16340400
1;1;16342520
0;1;16342987
0;1;16343209
0;1;16344301
0;1;16344710
0;0;16345225
0;1;16345233
0;1;16345404
0;1;16346156
0;1;16346697
0;1;18044142
0;0;18044375
0;0;18046821
0;0;18048849
0;1;18049887
0;1;18050133
0;0;18051716
0;1;18053381
0;1;18053962
0;1;18056248
0;1;18057749
0;0;16349123
0;0;16349345
0;1;16349368
0;1;16349522
0;1;16350547
0;1;16350896
0;1;16351125
1;1;16351153
0;1;16351288
0;1;16351358
0;1;16351774
0;0;16352215
0;0;16353389
0;1;16353435
0;0;16355561
0;1;16356617
0;0;16356971
0;1;16357168
0;1;16359035
0;0;16361699
0;1;16362082
0;1;16362130
0;0;16364060
0;0;16001661
0;0;16002371
0;1;16002889
1;1;18064399
1;1;18064415
0;1;18064978
0;1;18066170
0;1;18066342
1;1;18066948
0;0;18066992
0;1;18067004
0;1;18067280
0;0;18068800
1;1;18070808
0;0;18071190
0;1;18071866
0;0;18072886
0;1;16363468
0;1;16363641
0;1;16143965
0;0;16144609
1;1;16236283
0;0;16236327
0;1;16238877
0;1;16365307
0;0;16146216
0;1;16146421
0;0;16454209
0;0;16658153
0;1;16455399
0;1;16455773
0;0;16239529
0;1;16658228
0;1;16659146
0;1;16456505
0;0;16457314
0;0;16457706
0;1;16439544
1;1;16439635
0;0;16659161
1;1;16659207
1;1;16659271
0;1;16457761
0;1;16458946
0;1;16440992
0;1;16441406
0;1;16660006
0;0;16660519
0;1;16441854
0;1;16442006
0;0;16442024
0;1;16427658
0;0;16694947
1;1;16696370
0;1;17029283
0;0;17030905
0;0;17031387
0;0;16428611
0;1;17032219
0;0;17034324
0;1;17035243
0;1;17035277
0;1;16430594
0;0;16430766
0;1;16431259
0;0;16700310
0;1;16700449
0;0;16700861
0;0;16701299
1;1;16365149
0;1;16365233
0;1;16368683
0;0;16369067
0;0;16370239
0;1;16370820
0;1;16372555
0;0;16372963
0;1;16373623
0;1;16373779
0;0;16374697
0;0;16003483
0;0;16004393
0;0;17449227
1;1;16064247
0;1;17726712
0;1;17727815
0;1;17728509
0;1;16654544
0;1;16654589
0;1;17730604
0;1;17731187
0;0;18075267
1;1;18079124
0;1;18079680
1;1;18081503
0;1;18081516
0;0;18084176
0;0;18085468
1;1;18086573
0;1;18088739
0;1;18088757
0;0;18090045
0;1;18090155
0;1;16092225
0;0;16177489
0;0;16178037
0;1;16178177
0;1;16178539
0;1;16077738
0;1;16093337
0;0;16093536
0;1;16179414
0;0;16180291
0;0;16094446
0;1;16078870
0;0;16180581
0;0;16239776
0;0;16366039
0;0;16146542
0;0;16146970
0;1;16147191
0;0;16147912
0;1;16148164
1;1;16236772
1;1;16237041
0;1;16237051
0;1;16148842
1;1;16149266
0;0;16149338
1;1;16149347
0;0;18065978
0;0;16148052
1;1;16148053
0;1;16148486
0;0;16149175
0;1;17625844
0;1;17215518
0;1;17629492
0;0;18068605
